date,open,high,low,close,volume
27/05/2011,1.9693,1.978,1.9213,1.97,1687071
31/05/2011,1.9793,2.0186,1.97,2.0093,3290460
1/06/2011,2,2.0066,1.892,1.9011,1530365
2/06/2011,1.9013,1.9546,1.9006,1.9173,986274
3/06/2011,1.9967,2.1,1.9667,2.0087,6210339
6/06/2011,2.0066,2.0086,1.884,1.9133,2331721
7/06/2011,1.9293,1.9593,1.884,1.8913,1222074
8/06/2011,1.896,1.9067,1.8013,1.808,1696938
9/06/2011,1.8286,1.8733,1.8066,1.8413,1604187
10/06/2011,1.8346,1.8866,1.8233,1.8573,1566500
13/06/2011,1.8713,1.9253,1.8586,1.8953,1713727
14/06/2011,1.9027,1.98,1.9014,1.9067,1573345
15/06/2011,1.896,1.8966,1.8046,1.8213,1346551
16/06/2011,1.8447,1.8667,1.716,1.7667,1842168
17/06/2011,1.7914,1.8467,1.7427,1.7667,1714006
20/06/2011,1.7527,1.764,1.7,1.734,1537711
21/06/2011,1.7493,1.8486,1.7333,1.8353,1496532
22/06/2011,1.8247,1.8833,1.8067,1.814,1475535
23/06/2011,1.8133,1.848,1.7473,1.8473,1169966
24/06/2011,1.8427,1.8647,1.8174,1.8377,3608940
27/06/2011,1.8487,1.8854,1.8207,1.8307,1809408
28/06/2011,1.8527,1.8833,1.8447,1.874,889133
29/06/2011,1.9,1.9393,1.8713,1.886,1461710
30/06/2011,1.9,1.9553,1.8933,1.942,946655
1/07/2011,1.938,1.9734,1.92,1.9347,854857
5/07/2011,1.9347,1.968,1.914,1.9427,996011
6/07/2011,1.9427,1.9427,1.9034,1.9307,926909
7/07/2011,1.9427,2,1.934,1.982,1327822
8/07/2011,1.9927,1.9927,1.906,1.9207,1240607
11/07/2011,1.8933,1.902,1.8667,1.89,975704
12/07/2011,1.8913,1.9393,1.8667,1.878,1045407
13/07/2011,1.8953,1.9353,1.86,1.9093,1065921
14/07/2011,1.902,1.9307,1.8167,1.8407,1159157
15/07/2011,1.8527,1.8554,1.8267,1.8387,708970
18/07/2011,1.8226,1.83,1.7753,1.8153,852299
19/07/2011,1.8386,1.874,1.836,1.8593,1026027
20/07/2011,1.8667,2.0294,1.8534,1.9127,3048461
21/07/2011,1.9273,1.944,1.8733,1.9133,1011986
22/07/2011,1.9134,1.9694,1.9034,1.9527,583881
25/07/2011,1.934,1.95,1.896,1.8993,673478
26/07/2011,1.8874,1.918,1.8647,1.8667,762949
27/07/2011,1.9,1.9,1.834,1.8427,958425
28/07/2011,1.84,1.9033,1.836,1.878,938730
29/07/2011,1.8533,1.8933,1.8333,1.878,948128
1/08/2011,1.9113,1.932,1.8807,1.918,1164823
2/08/2011,1.9127,1.9467,1.818,1.8227,1549356
3/08/2011,1.8333,1.8553,1.7557,1.8133,1801291
4/08/2011,1.7673,1.7927,1.6447,1.65,3065599
5/08/2011,1.666,1.692,1.522,1.616,1964378
8/08/2011,1.54,1.6293,1.54,1.576,2608575
9/08/2011,1.61,1.6967,1.58,1.6707,1333415
10/08/2011,1.696,1.696,1.5753,1.588,1564149
11/08/2011,1.6027,1.7167,1.6,1.6867,836505
12/08/2011,1.7067,1.8093,1.6907,1.754,1009021
15/08/2011,1.7747,1.7834,1.7287,1.7487,738590
16/08/2011,1.742,1.7693,1.722,1.74,537689
17/08/2011,1.7593,1.7767,1.7007,1.722,643773
18/08/2011,1.6666,1.6766,1.5646,1.6173,1056544
19/08/2011,1.5907,1.6147,1.4667,1.4867,1375315
22/08/2011,1.5406,1.5866,1.4453,1.4633,986155
23/08/2011,1.462,1.5407,1.4334,1.5307,868992
24/08/2011,1.54,1.5953,1.522,1.5913,684222
25/08/2011,1.5914,1.5914,1.5267,1.5407,680228
26/08/2011,1.514,1.5967,1.4713,1.582,761757
29/08/2011,1.6146,1.6566,1.6013,1.6473,803283
30/08/2011,1.6333,1.6513,1.606,1.642,366659
31/08/2011,1.6533,1.7,1.6186,1.6493,823716
1/09/2011,1.644,1.658,1.589,1.6,848086
2/09/2011,1.5773,1.5993,1.512,1.538,770332
6/09/2011,1.5,1.5466,1.486,1.5293,809740
7/09/2011,1.5593,1.6,1.552,1.5893,459175
8/09/2011,1.572,1.602,1.552,1.574,505698
9/09/2011,1.558,1.5713,1.5033,1.5313,669246
12/09/2011,1.5,1.554,1.4966,1.5253,566557
13/09/2011,1.534,1.6066,1.5166,1.6053,726444
14/09/2011,1.6167,1.656,1.586,1.6227,830798
15/09/2011,1.6387,1.662,1.622,1.6547,562526
16/09/2011,1.652,1.7227,1.6327,1.72,1417575
19/09/2011,1.6633,1.7207,1.588,1.718,1157350
20/09/2011,1.732,1.7733,1.7113,1.734,1180352
21/09/2011,1.73,1.7966,1.7133,1.7233,987555
22/09/2011,1.7094,1.7407,1.6587,1.7087,776021
23/09/2011,1.6994,1.7747,1.69,1.7587,1156356
26/09/2011,1.768,1.768,1.66,1.7013,934694
27/09/2011,1.7333,1.7993,1.7047,1.746,674430
28/09/2011,1.7333,1.7666,1.634,1.6393,723189
29/09/2011,1.7147,1.7213,1.57,1.608,929546
30/09/2011,1.6533,1.6593,1.566,1.626,1336055
3/10/2011,1.6633,1.6667,1.55,1.582,1023131
4/10/2011,1.5526,1.6213,1.5286,1.5773,1200185
5/10/2011,1.602,1.7223,1.5566,1.6913,1229386
6/10/2011,1.6913,1.84,1.668,1.7973,1768988
7/10/2011,1.7986,1.84,1.7366,1.7993,1311520
10/10/2011,1.8207,1.8787,1.8,1.8587,923437
